index,symbol,companyName,listedDate,floor,industryName
269,TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,2018-07-18,HNX,"Đồ may mặc, trang sức, phụ kiện"
270,TET,Công ty Cổ phần Vải sợi May mặc miền Bắc ,2010-04-28,HNX,"Đồ may mặc, trang sức, phụ kiện"
271,TFC,Công ty cổ phần Trang,2015-12-03,HNX,Sản xuất thực phẩm
272,THB,Công ty Cổ phần Bia Thanh Hóa ,2008-11-19,HNX,Sản xuất bia
273,THD,CÔNG TY CỔ PHẦN THAIHOLDINGS,2020-06-19,HNX,"Xây dựng, chế tạo nhà ở"
274,THS,Công ty Cổ phần Thanh Hoa - Sông Đà,2013-11-12,HNX,Dịch vụ tiện ích tổng hợp
275,THT,Công ty Cổ phần than Hà Tu – Vinacomin,2008-10-24,HNX,Than đá
276,TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng long,2010-10-08,HNX,Đầu tư và phát triển bất động sản
277,TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại ,2007-12-17,HNX,Vận tải biển
278,TKC,Công ty Cổ phần Xây dựng và Kinh doanh địa ốc Tân Kỷ,2009-12-01,HNX,Xây dựng công trình
279,TKU,Công ty Cổ phần Công nghiệp Tung Kuang,2006-06-26,HNX,Nhôm
280,TMB,Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin,2017-01-16,HNX,Than đá
281,TMC,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,2009-06-08,HNX,Cửa hàng chuyên dụng
282,TMX,Công ty Cổ phần Vicem Thương mại xi măng ,2009-11-02,HNX,Vật liệu xây dựng
283,TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,2007-11-22,HNX,"Đồ may mặc, trang sức, phụ kiện"
284,TPH,Công ty Cổ phần In Sách Giáo Khoa tại TP Hà Nội,2006-12-15,HNX,Hoạt động xuất bản
285,TPP,Công Ty Cổ Phần Tân Phú Việt Nam,2008-09-26,HNX,Bao bì & đóng gói
286,TSB,Công ty Cổ phần Ắc quy Tia sáng,2011-01-19,HNX,Thiết bị điện
287,TST,Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông,2007-12-13,HNX,Thiết bị viễn thông
288,TTC,Công ty Cổ phần Gạch men Thanh Thanh,2010-01-07,HNX,Vật liệu xây dựng
289,TTH,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,2016-10-26,HNX,Dịch vụ tiêu dùng chuyên dụng
290,TTL,Tổng công ty xây dựng Thăng Long - Công ty cổ phần,2018-01-18,HNX,Xây dựng công trình
291,TTT,Công ty Cổ phần Du lịch - Thương mại Tây Ninh,2017-06-02,HNX,Du lịch
292,TTZ,Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung,2013-01-29,HNX,Vận tải xe tải
293,TV3,Công ty Cổ phần Tư vấn xây dựng điện 3,2009-12-01,HNX,Xây dựng công trình
294,TV4,Công ty Cổ phần Tư vấn xây dựng điện 4,2008-07-22,HNX,Xây dựng công trình
295,TVC,Công ty cổ phần Tập đoàn Quản lý Tài sản Trí Việt,2014-09-23,HNX,Quản lý tài sản
296,TVD,Công ty Cổ phần than Vàng Danh - Vinacomin ,2011-01-11,HNX,Than đá
297,TXM,Công ty Cổ phần VICEM Thạch cao Xi măng,2006-12-11,HNX,Vật liệu xây dựng
298,UNI,Công ty Cổ phần Viễn Liên,2009-06-08,HNX,Dịch vụ bất động sản
299,V12,CTCP Xây dựng số 12,2010-01-05,HNX,Xây dựng công trình
300,V21,Công ty Cổ phần Vinaconex 21,2010-04-21,HNX,Xây dựng công trình
301,VBC,Công ty Cổ phần Nhựa - Bao bì Vinh ,2010-03-17,HNX,Bao bì & đóng gói
302,VC1,Công ty Cổ phần Xây dựng số 1 ,2009-05-14,HNX,Xây dựng công trình
303,VC2,Công ty Cổ phần Đầu tư và Xây dựng VINA2,2006-12-11,HNX,Xây dựng công trình
304,VC3,CÔNG TY CỔ PHẦN TẬP ĐOÀN NAM MÊ KÔNG,2007-12-13,HNX,Xây dựng công trình
305,VC6,Công ty cổ phần Xây dựng và Đầu tư Visicons,2008-01-28,HNX,Xây dựng công trình
306,VC7,CÔNG TY CỔ PHẦN TẬP ĐOÀN BGI,2007-12-28,HNX,Xây dựng công trình
307,VC9,Công ty Cổ phần Xây dựng số 9 ,2009-11-05,HNX,Xây dựng công trình
308,VCC,Công ty Cổ phần Vinaconex 25,2009-02-05,HNX,Xây dựng công trình
309,VCM,Công ty Cổ phần Nhân lực và Thương mại Vinaconex ,2010-05-11,HNX,Dịch vụ cung ứng lao động và đào tạo
310,VCS,Công ty Cổ phần VICOSTONE,2007-12-17,HNX,Vật liệu xây dựng
311,VDL,Công ty Cổ phần Thực phẩm Lâm Đồng ,2007-11-27,HNX,"Rượu, đồ uống có cồn"
312,VE1,Công ty Cổ phần Xây dựng điện VNECO 1 ,2008-09-04,HNX,Xây dựng công trình
313,VE2,Công ty Cổ phần Xây dựng Điện VNECO 2 ,2010-07-26,HNX,Xây dựng công trình
314,VE3,Công ty Cổ phần Xây dựng điện VNECO 3 ,2010-06-30,HNX,Xây dựng công trình
315,VE4,Công ty Cổ phần xây dựng điện VNECO 4 ,2012-10-16,HNX,Xây dựng công trình
316,VE8,Công ty Cổ phần Xây dựng Điện Vneco 8 ,2012-08-27,HNX,Xây dựng công trình
317,VGP,Công ty Cổ phần Cảng rau quả,2009-06-12,HNX,Dịch vụ vận tải
318,VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE,2008-12-04,HNX,Thép
319,VHE,Công ty cổ phần Dược liệu và Thực phẩm Việt Nam,2019-01-14,HNX,Bán lẻ dược phẩm
320,VHL,Công ty Cổ phần Viglacera Hạ Long,2009-02-12,HNX,Vật liệu xây dựng
321,VIE,Công ty Cổ phần Công nghệ Viễn thông VITECO,2011-05-06,HNX,Thiết bị viễn thông
322,VIF,Tổng công ty Lâm nghiệp Việt Nam - Công ty cổ phần,2020-02-03,HNX,Chế phẩm từ gỗ
323,VIG,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam (VICS) ,2009-12-01,HNX,Dịch vụ đầu tư
324,VIT,Công ty Cổ phần Viglacera Tiên Sơn ,2009-11-03,HNX,Vật liệu xây dựng
325,VKC,Công ty Cổ phần Cáp Nhựa Vĩnh Khánh,2010-12-08,HNX,Công nghiệp đa ngành
326,VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,2010-08-04,HNX,Phần mềm
327,VMC,Công ty Cổ phần VIMECO,2006-12-11,HNX,Xây dựng công trình
328,VMS,Công ty Cổ phần Phát triển Hàng hải,2015-10-20,HNX,Vận tải biển
329,VNC,Công ty Cổ phần Tập đoàn Vinacontrol,2006-12-21,HNX,Dịch vụ hỗ trợ kinh doanh
330,VNF,Công ty cổ phần VINAFREIGHT,2010-12-01,HNX,Dịch vụ vận tải
331,VNR,Tổng Công ty Cổ phần tái bảo hiểm quốc gia Việt Nam,2006-03-13,HNX,Tái bảo hiểm
332,VNT,Công ty Cổ phần Giao nhận Vận tải Ngoại thương,2009-08-14,HNX,Dịch vụ giao nhận
333,VSA,Công ty Cổ phần Đại lý Hàng hải Việt Nam,2015-12-22,HNX,Vận tải biển
334,VSM,Công ty Cổ phần Container Miền Trung,2017-07-17,HNX,Dịch vụ vận tải
335,VTC,Công ty Cổ phần viễn thông VTC,2009-06-08,HNX,Dịch vụ viễn thông cố định
336,VTH,Công ty Cổ phần Dây Cáp Điện Việt Thái,2014-10-29,HNX,Thiết bị viễn thông
337,VTJ,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,2017-04-26,HNX,Thuốc lá
338,VTL,Công ty Cổ phần Vang Thăng Long,2005-07-14,HNX,"Rượu, đồ uống có cồn"
339,VTV,CÔNG TY CỔ PHẦN NĂNG LƯỢNG VÀ MÔI TRƯỜNG VICEM,2006-12-18,HNX,Vật liệu xây dựng
340,VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,2021-11-25,HNX,Sản phẩm sinh hóa
341,VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,2010-06-22,HNX,Vật liệu xây dựng
342,WCS,Công ty Cổ phần Bến xe miền Tây,2010-09-17,HNX,Du lịch
343,WSS,Công ty Cổ phần Chứng khoán phố Wall,2009-12-15,HNX,Dịch vụ đầu tư
344,X20,Công ty cổ phần X20,2018-02-05,HNX,"Đồ may mặc, trang sức, phụ kiện"
