index,symbol,companyName,listedDate,floor,industryName
55,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,2010-01-22,HOSE,Dịch vụ máy tính
56,CMV,Công ty Cổ phần Thương Nghiệp Cà Mau,2010-06-21,HOSE,Cửa hàng chuyên dụng
57,CMX,Công ty cổ phần Camimex Group,2010-11-09,HOSE,Sản xuất thực phẩm
58,CNG,Công ty Cổ phần CNG Việt Nam,2011-11-23,HOSE,Gas
59,COM,Công ty Cổ phần Vật Tư - Xăng Dầu,2006-08-07,HOSE,Cửa hàng chuyên dụng
60,CRC,Công ty Cổ phần Create Capital Việt Nam,2018-08-20,HOSE,Bán lẻ dụng cụ gia đình
61,CRE,Công ty Cổ phần Bất động sản Thế kỷ,2018-09-05,HOSE,Dịch vụ bất động sản
62,CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,2009-08-11,HOSE,Săm lốp
63,CSV,Công ty Cổ phần hóa chất cơ bản Miền Nam ,2015-03-18,HOSE,Hóa chất đặc biệt
64,CTD,Công ty Cổ phần Xây dựng Coteccons,2010-01-20,HOSE,Xây dựng công trình
65,CTF,Công ty Cổ phần City Auto,2017-05-30,HOSE,Cửa hàng chuyên dụng
66,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,2009-07-16,HOSE,Ngân hàng
67,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,2010-03-19,HOSE,Xây dựng công trình
68,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,2017-06-20,HOSE,Dịch vụ đầu tư
69,CVT,Công ty Cổ phần CMC,2017-10-05,HOSE,Vật liệu xây dựng
70,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2 ,2009-08-14,HOSE,Đầu tư và phát triển bất động sản
71,DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,2010-04-08,HOSE,Vật liệu xây dựng
72,DAH,Công ty cổ phần Tập đoàn Khách sạn Đông Á,2016-10-10,HOSE,Khách sạn
73,DAT,Công ty cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,2015-11-05,HOSE,Công nghiệp đa ngành
74,DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,2019-07-26,HOSE,Nông sản và thủy hải sản
75,DBD,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định (Bidiphar),2018-06-15,HOSE,Dược phẩm
76,DBT,Công ty Cổ phần Dược phẩm Bến Tre,2020-10-28,HOSE,Dược phẩm
77,DC4,Công ty cổ phần Xây dựng DIC Holdings,2020-10-20,HOSE,Xây dựng công trình
78,DCL,Công ty Cổ phần Dược phẩm Cửu Long ,2008-09-17,HOSE,Dược phẩm
79,DCM,Công ty Cổ phần Phân Bón Dầu khí Cà Mau,2015-03-31,HOSE,Hóa chất đặc biệt
80,DGC,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,2020-07-28,HOSE,Hóa chất cơ bản
