index,symbol,companyName,listedDate,floor,industryName
0,DGW,Công ty Cổ phần Thế giới Số,2015-08-03,HOSE,Bán lẻ tổng hợp
1,FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,2018-04-26,HOSE,Cửa hàng chuyên dụng
2,MSN,Công ty Cổ phần Tập đoàn Ma San,2009-11-05,HOSE,Sản xuất thực phẩm
3,MWG,Công ty Cổ phần đầu tư thế giới di động,2014-07-14,HOSE,Bán lẻ tổng hợp
4,PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí ,2007-09-12,HOSE,Cửa hàng chuyên dụng
5,PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí ,2013-06-28,HNX,Thiết bị viễn thông
