index,symbol,companyName,listedDate,floor,industryName
350,HRB,Công ty cổ phần Harec Đầu tư và Thương Mại,2017-11-06,UPCOM,Đầu tư và phát triển bất động sản
351,HRT,Công ty cổ phần Vận tải Đường sắt Hà Nội,2016-09-15,UPCOM,Đường sắt
352,HSA,Công ty Cổ phần Hestia,2017-01-23,UPCOM,Dịch vụ hỗ trợ kinh doanh
353,HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,2015-05-11,UPCOM,Hóa chất đặc biệt
354,HSM,Tổng Công ty Cổ phần Dệt May Hà Nội,2018-04-19,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
355,HSP,Công ty cổ phần Sơn Tổng hợp Hà Nội,2020-03-30,UPCOM,Vật liệu xây dựng
356,HSV,Công ty Cổ phần Gang thép Hà Nội,2021-04-27,UPCOM,Kim loại màu
357,HTE,Công ty Cổ phần Đầu tư Kinh doanh điện lực Thành phố Hồ Chí Minh,2017-07-24,UPCOM,Xây dựng công trình
358,HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ,2017-06-14,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
359,HTH,Công ty Cổ phần Hoa tiêu hàng hải - TKV,2021-07-23,UPCOM,Dịch vụ hỗ trợ kinh doanh
360,HTK,Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương,2018-09-12,UPCOM,Dịch vụ hỗ trợ kinh doanh
361,HTM,Tổng Công ty Thương Mại Hà Nội - Công ty cổ phần,2018-05-04,UPCOM,Bán lẻ tổng hợp
362,HTR,Công ty cổ phần Đường sắt Hà Thái,2017-02-22,UPCOM,Đường sắt
363,HTT,Công ty Cổ phần Thương mại Hà Tây,2020-06-26,UPCOM,Đầu tư và phát triển bất động sản
364,HTW,Công ty Cổ phần cấp nước Hà Tĩnh,2016-12-14,UPCOM,Nước
365,HU4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,2016-01-29,UPCOM,Xây dựng công trình
366,HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,2015-11-19,UPCOM,Đầu tư và phát triển bất động sản
367,HUG,Tổng công ty May Hưng Yên - Công ty Cổ phần,2017-12-18,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
368,HUX,Công ty cổ phần khoáng sản Thừa Thiên Huế,2020-09-04,UPCOM,Khai khoáng nói chung
369,HVA,Công ty Cổ phần Đầu tư HVA,2020-03-17,UPCOM,Sản xuất thực phẩm
370,HVG,Công ty Cổ phần Hùng Vương ,2020-08-13,UPCOM,Nông sản và thủy hải sản
371,HWS,Công ty Cổ phần Cấp nước Thừa Thiên Huế,2018-07-27,UPCOM,Nước
372,I10,Công ty Cổ phần Đầu tư Xây dựng số 10 IDICO,2016-04-07,UPCOM,Xây dựng công trình
373,IBD,Công ty Cổ phần In Tổng hợp Bình Dương,2019-05-24,UPCOM,Bao bì & đóng gói
374,IBN,Công ty TNHH MTV In báo Nghệ An,2021-05-17,UPCOM,Hoạt động xuất bản
375,ICC,Công ty cổ phần Xây dựng Công nghiệp,2016-06-01,UPCOM,Xây dựng công trình
376,ICF,Công ty Cổ phần Đầu tư Thương mại Thủy sản ,2019-05-20,UPCOM,Nông sản và thủy hải sản
377,ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,2010-07-06,UPCOM,Vật liệu xây dựng
378,ICN,Công ty Cổ phần Đầu Tư Xây Dựng Dầu Khí IDICO ,2015-06-12,UPCOM,Xây dựng công trình
379,IDP,CÔNG TY CỔ PHẦN SỮA QUỐC TẾ,2021-01-07,UPCOM,Sản xuất thực phẩm
380,IFS,Công ty Cổ phần Thực phẩm Quốc Tế,2016-11-16,UPCOM,Sản xuất thực phẩm
381,IHK,Công ty Cổ phần In Hàng không ,2010-03-04,UPCOM,Hoạt động xuất bản
382,ILA,Công ty Cổ phần ILA,2017-11-28,UPCOM,Sản xuất thực phẩm
